file,natoms,formula,pubchem_cid,pubchem_url
geometries/natoms_63_cid_1496.sdf,63,C26H32N4O,1496,https://pubchem.ncbi.nlm.nih.gov/compound/1496
geometries/natoms_75_cid_1497.sdf,75,C30H40N4O,1497,https://pubchem.ncbi.nlm.nih.gov/compound/1497
geometries/natoms_45_cid_1498.sdf,45,C17H21N5O2,1498,https://pubchem.ncbi.nlm.nih.gov/compound/1498
geometries/natoms_76_cid_1500.sdf,76,C31H35N7O3,1500,https://pubchem.ncbi.nlm.nih.gov/compound/1500
geometries/natoms_75_cid_1501.sdf,75,C30H36N6O3,1501,https://pubchem.ncbi.nlm.nih.gov/compound/1501
geometries/natoms_41_cid_1504.sdf,41,C20H16N4O,1504,https://pubchem.ncbi.nlm.nih.gov/compound/1504
geometries/natoms_45_cid_1540.sdf,45,C18H21N5O,1540,https://pubchem.ncbi.nlm.nih.gov/compound/1540
geometries/natoms_34_cid_1584.sdf,34,C16H14N2O2,1584,https://pubchem.ncbi.nlm.nih.gov/compound/1584
geometries/natoms_44_cid_1585.sdf,44,C16H18N6O4,1585,https://pubchem.ncbi.nlm.nih.gov/compound/1585
geometries/natoms_68_cid_1587.sdf,68,C23H36N4O5,1587,https://pubchem.ncbi.nlm.nih.gov/compound/1587
geometries/natoms_63_cid_1605.sdf,63,C28H26N4O5,1605,https://pubchem.ncbi.nlm.nih.gov/compound/1605
geometries/natoms_63_cid_1631.sdf,63,C28H28N4O3,1631,https://pubchem.ncbi.nlm.nih.gov/compound/1631
geometries/natoms_46_cid_1633.sdf,46,C20H21N3O2,1633,https://pubchem.ncbi.nlm.nih.gov/compound/1633
geometries/natoms_80_cid_1644.sdf,80,C32H41N3O4,1644,https://pubchem.ncbi.nlm.nih.gov/compound/1644
geometries/natoms_60_cid_1659.sdf,60,C21H38O,1659,https://pubchem.ncbi.nlm.nih.gov/compound/1659
geometries/natoms_60_cid_1660.sdf,60,C21H38O,1660,https://pubchem.ncbi.nlm.nih.gov/compound/1660
geometries/natoms_34_cid_1675.sdf,34,C11H16N2O5,1675,https://pubchem.ncbi.nlm.nih.gov/compound/1675
geometries/natoms_47_cid_1680.sdf,47,C21H22O4,1680,https://pubchem.ncbi.nlm.nih.gov/compound/1680
geometries/natoms_59_cid_1692.sdf,59,C27H24N4O4,1692,https://pubchem.ncbi.nlm.nih.gov/compound/1692
geometries/natoms_60_cid_1711.sdf,60,C29H26N2O3,1711,https://pubchem.ncbi.nlm.nih.gov/compound/1711
geometries/natoms_80_cid_1724.sdf,80,C32H41N3O4,1724,https://pubchem.ncbi.nlm.nih.gov/compound/1724
geometries/natoms_62_cid_1744.sdf,62,C26H33NO2,1744,https://pubchem.ncbi.nlm.nih.gov/compound/1744
geometries/natoms_46_cid_1780.sdf,46,C20H24O2,1780,https://pubchem.ncbi.nlm.nih.gov/compound/1780
geometries/natoms_43_cid_1812.sdf,43,C20H18O5,1812,https://pubchem.ncbi.nlm.nih.gov/compound/1812
geometries/natoms_60_cid_1823.sdf,60,C21H38O,1823,https://pubchem.ncbi.nlm.nih.gov/compound/1823
geometries/natoms_47_cid_1827.sdf,47,C15H24N2O6,1827,https://pubchem.ncbi.nlm.nih.gov/compound/1827
geometries/natoms_46_cid_1934.sdf,46,C19H24O3,1934,https://pubchem.ncbi.nlm.nih.gov/compound/1934
geometries/natoms_79_cid_1945.sdf,79,C33H38N2O6,1945,https://pubchem.ncbi.nlm.nih.gov/compound/1945
geometries/natoms_84_cid_1946.sdf,84,C36H40N6O2,1946,https://pubchem.ncbi.nlm.nih.gov/compound/1946
geometries/natoms_62_cid_2020.sdf,62,C19H35N3O5,2020,https://pubchem.ncbi.nlm.nih.gov/compound/2020
geometries/natoms_74_cid_2026.sdf,74,C28H32N8O6,2026,https://pubchem.ncbi.nlm.nih.gov/compound/2026
geometries/natoms_74_cid_2069.sdf,74,C33H34N2O5,2069,https://pubchem.ncbi.nlm.nih.gov/compound/2069
geometries/natoms_81_cid_2116.sdf,81,C29H50O2,2116,https://pubchem.ncbi.nlm.nih.gov/compound/2116
geometries/natoms_86_cid_2117.sdf,86,C31H52O3,2117,https://pubchem.ncbi.nlm.nih.gov/compound/2117
geometries/natoms_44_cid_2160.sdf,44,C20H23N,2160,https://pubchem.ncbi.nlm.nih.gov/compound/2160
geometries/natoms_47_cid_2193.sdf,47,C19H26O2,2193,https://pubchem.ncbi.nlm.nih.gov/compound/2193
geometries/natoms_76_cid_2204.sdf,76,C27H38N2O9,2204,https://pubchem.ncbi.nlm.nih.gov/compound/2204
geometries/natoms_91_cid_2212.sdf,91,C33H47N5O6,2212,https://pubchem.ncbi.nlm.nih.gov/compound/2212
geometries/natoms_66_cid_2290.sdf,66,C28H26N2O10,2290,https://pubchem.ncbi.nlm.nih.gov/compound/2290
geometries/natoms_65_cid_2296.sdf,65,C27H29N3O6,2296,https://pubchem.ncbi.nlm.nih.gov/compound/2296
geometries/natoms_68_cid_2324.sdf,68,C28H31N3O6,2324,https://pubchem.ncbi.nlm.nih.gov/compound/2324
geometries/natoms_72_cid_2335.sdf,72,C27H42NO2+,2335,https://pubchem.ncbi.nlm.nih.gov/compound/2335
geometries/natoms_61_cid_2342.sdf,61,C22H32N2O5,2342,https://pubchem.ncbi.nlm.nih.gov/compound/2342
geometries/natoms_61_cid_2351.sdf,61,C24H34N2O,2351,https://pubchem.ncbi.nlm.nih.gov/compound/2351
geometries/natoms_61_cid_2402.sdf,61,C27H27N5O2,2402,https://pubchem.ncbi.nlm.nih.gov/compound/2402
geometries/natoms_47_cid_2467.sdf,47,C17H25NO4,2467,https://pubchem.ncbi.nlm.nih.gov/compound/2467
geometries/natoms_71_cid_2488.sdf,71,C28H38NO4+,2488,https://pubchem.ncbi.nlm.nih.gov/compound/2488
